abs,date,rate,type,state
541,2000-01-01,8.1,total,Johor
593,2001-01-01,9.7,total,Johor
554,2002-01-01,9.3,total,Johor
528,2003-01-01,9.1,total,Johor
491,2004-01-01,8.6,total,Johor
508,2005-01-01,9.0,total,Johor
449,2006-01-01,7.9,total,Johor
429,2007-01-01,7.4,total,Johor
515,2008-01-01,8.9,total,Johor
464,2009-01-01,8.0,total,Johor
483,2010-01-01,8.6,total,Johor
456,2011-01-01,7.8,total,Johor
512,2012-01-01,8.5,total,Johor
442,2013-01-01,7.7,total,Johor
445,2014-01-01,7.4,total,Johor
517,2015-01-01,8.5,total,Johor
534,2016-01-01,9.0,total,Johor
503,2017-01-01,8.2,total,Johor
515,2018-01-01,8.4,total,Johor
473,2019-01-01,7.8,total,Johor
412,2020-01-01,7.2,total,Johor
402,2021-01-01,8.0,total,Johor
409,2022-01-01,8.5,total,Johor
412,2023-01-01,7.3,total,Johor
321,2000-01-01,7.8,total,Kedah
427,2001-01-01,11.2,total,Kedah
366,2002-01-01,10.0,total,Kedah
356,2003-01-01,10.1,total,Kedah
335,2004-01-01,9.6,total,Kedah
334,2005-01-01,9.8,total,Kedah
293,2006-01-01,8.7,total,Kedah
329,2007-01-01,9.7,total,Kedah
353,2008-01-01,10.0,total,Kedah
340,2009-01-01,9.4,total,Kedah
324,2010-01-01,9.2,total,Kedah
282,2011-01-01,7.8,total,Kedah
311,2012-01-01,8.5,total,Kedah
292,2013-01-01,8.3,total,Kedah
287,2014-01-01,7.9,total,Kedah
288,2015-01-01,7.8,total,Kedah
308,2016-01-01,8.6,total,Kedah
268,2017-01-01,7.3,total,Kedah
286,2018-01-01,8.0,total,Kedah
279,2019-01-01,8.1,total,Kedah
218,2020-01-01,6.4,total,Kedah
231,2021-01-01,7.0,total,Kedah
244,2022-01-01,7.9,total,Kedah
249,2023-01-01,7.4,total,Kedah
544,2000-01-01,13.5,total,Kelantan
466,2001-01-01,12.2,total,Kelantan
454,2002-01-01,12.2,total,Kelantan
454,2003-01-01,12.7,total,Kelantan
401,2004-01-01,11.4,total,Kelantan
429,2005-01-01,12.6,total,Kelantan
372,2006-01-01,11.1,total,Kelantan
386,2007-01-01,11.4,total,Kelantan
385,2008-01-01,11.0,total,Kelantan
437,2009-01-01,12.2,total,Kelantan
384,2010-01-01,10.7,total,Kelantan
364,2011-01-01,9.7,total,Kelantan
366,2012-01-01,9.9,total,Kelantan
338,2013-01-01,9.3,total,Kelantan
395,2014-01-01,10.1,total,Kelantan
315,2015-01-01,8.1,total,Kelantan
367,2016-01-01,9.5,total,Kelantan
363,2017-01-01,9.3,total,Kelantan
343,2018-01-01,8.9,total,Kelantan
336,2019-01-01,9.1,total,Kelantan
265,2020-01-01,7.3,total,Kelantan
285,2021-01-01,8.2,total,Kelantan
319,2022-01-01,9.4,total,Kelantan
308,2023-01-01,8.6,total,Kelantan
150,2000-01-01,9.8,total,Melaka
140,2001-01-01,9.8,total,Melaka
149,2002-01-01,10.8,total,Melaka
146,2003-01-01,10.5,total,Melaka
150,2004-01-01,11.1,total,Melaka
137,2005-01-01,10.3,total,Melaka
115,2006-01-01,8.9,total,Melaka
129,2007-01-01,9.6,total,Melaka
130,2008-01-01,9.5,total,Melaka
143,2009-01-01,10.6,total,Melaka
123,2010-01-01,9.5,total,Melaka
142,2011-01-01,10.2,total,Melaka
119,2012-01-01,8.3,total,Melaka
107,2013-01-01,7.8,total,Melaka
104,2014-01-01,7.1,total,Melaka
102,2015-01-01,7.0,total,Melaka
114,2016-01-01,7.9,total,Melaka
114,2017-01-01,7.9,total,Melaka
120,2018-01-01,8.3,total,Melaka
109,2019-01-01,7.7,total,Melaka
110,2020-01-01,7.9,total,Melaka
108,2021-01-01,8.2,total,Melaka
115,2022-01-01,8.8,total,Melaka
110,2023-01-01,8.1,total,Melaka
145,2000-01-01,7.5,total,Negeri Sembilan
175,2001-01-01,9.9,total,Negeri Sembilan
162,2002-01-01,9.2,total,Negeri Sembilan
175,2003-01-01,10.1,total,Negeri Sembilan
133,2004-01-01,7.8,total,Negeri Sembilan
165,2005-01-01,9.8,total,Negeri Sembilan
179,2006-01-01,10.8,total,Negeri Sembilan
138,2007-01-01,8.0,total,Negeri Sembilan
146,2008-01-01,8.4,total,Negeri Sembilan
177,2009-01-01,10.2,total,Negeri Sembilan
155,2010-01-01,9.2,total,Negeri Sembilan
150,2011-01-01,8.5,total,Negeri Sembilan
151,2012-01-01,8.4,total,Negeri Sembilan
157,2013-01-01,9.0,total,Negeri Sembilan
150,2014-01-01,8.0,total,Negeri Sembilan
154,2015-01-01,8.4,total,Negeri Sembilan
135,2016-01-01,7.5,total,Negeri Sembilan
179,2017-01-01,9.9,total,Negeri Sembilan
189,2018-01-01,10.4,total,Negeri Sembilan
160,2019-01-01,9.2,total,Negeri Sembilan
128,2020-01-01,7.5,total,Negeri Sembilan
125,2021-01-01,7.5,total,Negeri Sembilan
127,2022-01-01,7.9,total,Negeri Sembilan
148,2023-01-01,8.9,total,Negeri Sembilan
336,2000-01-01,11.4,total,Pahang
325,2001-01-01,11.8,total,Pahang
345,2002-01-01,12.9,total,Pahang
319,2003-01-01,12.2,total,Pahang
334,2004-01-01,12.9,total,Pahang
325,2005-01-01,12.6,total,Pahang
303,2006-01-01,12.2,total,Pahang
277,2007-01-01,11.1,total,Pahang
268,2008-01-01,10.4,total,Pahang
307,2009-01-01,11.8,total,Pahang
263,2010-01-01,10.1,total,Pahang
318,2011-01-01,11.7,total,Pahang
292,2012-01-01,10.7,total,Pahang
310,2013-01-01,11.5,total,Pahang
270,2014-01-01,9.4,total,Pahang
273,2015-01-01,9.7,total,Pahang
254,2016-01-01,9.2,total,Pahang
257,2017-01-01,9.3,total,Pahang
244,2018-01-01,9.0,total,Pahang
238,2019-01-01,9.2,total,Pahang
179,2020-01-01,7.1,total,Pahang
173,2021-01-01,7.1,total,Pahang
227,2022-01-01,9.6,total,Pahang
233,2023-01-01,9.6,total,Pahang
463,2000-01-01,9.5,total,Perak
393,2001-01-01,9.0,total,Perak
448,2002-01-01,10.6,total,Perak
391,2003-01-01,9.8,total,Perak
411,2004-01-01,10.5,total,Perak
386,2005-01-01,10.3,total,Perak
315,2006-01-01,8.6,total,Perak
347,2007-01-01,9.5,total,Perak
306,2008-01-01,8.2,total,Perak
387,2009-01-01,10.4,total,Perak
381,2010-01-01,10.6,total,Perak
306,2011-01-01,8.2,total,Perak
316,2012-01-01,8.4,total,Perak
320,2013-01-01,9.0,total,Perak
284,2014-01-01,7.8,total,Perak
295,2015-01-01,8.1,total,Perak
308,2016-01-01,8.6,total,Perak
296,2017-01-01,8.5,total,Perak
284,2018-01-01,8.4,total,Perak
294,2019-01-01,8.9,total,Perak
246,2020-01-01,7.8,total,Perak
220,2021-01-01,7.1,total,Perak
265,2022-01-01,9.0,total,Perak
260,2023-01-01,8.5,total,Perak
51,2000-01-01,11.0,total,Perlis
