indicator,year,value
life_expectancy,2024,76.821
life_expectancy,2023,76.657
life_expectancy,2022,75.444
life_expectancy,2021,73.917
life_expectancy,2020,76.057
life_expectancy,2019,75.9
life_expectancy,2018,75.734
life_expectancy,2017,75.542
life_expectancy,2016,75.371
life_expectancy,2015,75.288
life_expectancy,2014,75.345
life_expectancy,2013,75.464
life_expectancy,2012,75.552
life_expectancy,2011,75.488
life_expectancy,2010,75.376
life_expectancy,2009,75.269
life_expectancy,2008,75.151
life_expectancy,2007,74.961
life_expectancy,2006,74.697
life_expectancy,2005,74.37
life_expectancy,2004,74.027
life_expectancy,2003,73.727
life_expectancy,2002,73.469
life_expectancy,2001,73.08
life_expectancy,2000,72.732
life_expectancy,1999,72.428
life_expectancy,1998,72.385
life_expectancy,1997,72.296
life_expectancy,1996,72.119
life_expectancy,1995,71.979
life_expectancy,1994,71.865
life_expectancy,1993,71.721
life_expectancy,1992,71.483
life_expectancy,1991,71.219
life_expectancy,1990,70.952
life_expectancy,1989,70.759
life_expectancy,1988,70.551
life_expectancy,1987,70.351
life_expectancy,1986,70.133
life_expectancy,1985,69.863
life_expectancy,1984,69.551
life_expectancy,1983,69.205
life_expectancy,1982,68.876
life_expectancy,1981,68.461
life_expectancy,1980,68.061
life_expectancy,1979,67.607
life_expectancy,1978,67.17
life_expectancy,1977,66.72
life_expectancy,1976,66.233
life_expectancy,1975,65.697
life_expectancy,1974,65.204
life_expectancy,1973,64.725
life_expectancy,1972,64.232
life_expectancy,1971,63.77
life_expectancy,1970,63.298
life_expectancy,1969,62.868
life_expectancy,1968,62.443
life_expectancy,1967,62.044
life_expectancy,1966,61.679
imr_national,2024,7.0
imr_national,2023,6.9
imr_national,2022,6.9
imr_national,2021,6.8
imr_national,2020,6.8
imr_national,2019,6.8
imr_national,2018,6.8
imr_national,2017,6.7
imr_national,2016,6.7
imr_national,2015,6.7
imr_national,2014,6.6
imr_national,2013,6.5
imr_national,2012,6.5
imr_national,2011,6.5
imr_national,2010,6.5
imr_national,2009,6.5
imr_national,2008,6.5
imr_national,2007,6.5
imr_national,2006,6.5
imr_national,2005,6.5
imr_national,2004,6.5
imr_national,2003,6.6
imr_national,2002,6.8
imr_national,2001,7.1
imr_national,2000,7.5
imr_national,1999,8.1
imr_national,1998,8.8
imr_national,1997,9.3
imr_national,1996,9.7
imr_national,1995,10.0
imr_national,1994,10.4
imr_national,1993,10.8
imr_national,1992,11.3
imr_national,1991,11.8
imr_national,1990,12.4
imr_national,1989,13.0
imr_national,1988,13.7
imr_national,1987,14.4
imr_national,1986,15.2
imr_national,1985,16.2
imr_national,1984,17.2
imr_national,1983,18.4
imr_national,1982,19.7
imr_national,1981,21.0
imr_national,1980,22.5
imr_national,1979,24.1
imr_national,1978,25.8
imr_national,1977,27.6
imr_national,1976,29.4
imr_national,1975,31.4
imr_national,1974,33.3
imr_national,1973,35.4
imr_national,1972,37.3
imr_national,1971,39.2
imr_national,1970,40.9
imr_national,1969,42.5
imr_national,1968,44.1
imr_national,1967,45.9
imr_national,1966,47.9
