year,oop_pc_ppp,gdp_pc_ppp,oop_pct_che,che_pct_gdp,q1_share,q2_share,q3_share,q4_share
2000,145.219501289556,13027.2733386657,40.70201111,2.51463366,,,,
2001,135.951038453173,13071.5814138975,35.69312286,2.6753974,,,,
2002,137.514205430552,13656.0458904379,34.64449692,2.66876554,,,,
2003,158.075888048608,14387.2484914999,34.49882889,2.92417073,4.6,8.7,13.6,21.4
2004,173.392976733266,15415.8063402619,36.10705185,2.86016941,,,,
2005,181.814889502664,16371.4260817974,38.04380035,2.78692698,,,,
2006,197.098415200229,17426.361167892,34.73173904,3.10897732,5.0,9.1,13.9,21.6
2007,210.29409484491,18616.8070767617,35.12305069,3.07041144,,,,
2008,218.026588670013,19479.8799590564,35.536026,3.00692558,4.8,8.9,13.8,21.8
2009,208.072083758101,18922.6459508418,32.19156265,3.2610569,,,,
2010,221.126924134587,20193.4092945433,34.11669922,3.16474271,,,,
2011,243.816935437988,21324.3594996498,34.01270676,3.31451917,5.2,9.4,14.2,21.9
2012,262.298380472188,22638.5406944009,33.03797531,3.45786357,,,,
2013,277.819461248955,23160.8924510627,33.66908646,3.51276922,5.8,10.1,14.7,21.7
2014,302.250604480875,24306.5212338415,33.0446701,3.71036959,,,,
2015,315.974820858489,24526.3942716012,33.70749283,3.82201481,5.8,10.1,14.8,22.0
2016,336.402287381873,25285.8213541391,35.94845581,3.70085335,,,,
2017,352.612211295669,26415.5960203287,35.93440247,3.71472311,,,,
2018,382.851413493105,27793.5674222948,36.64058304,3.75944281,5.7,10.0,14.8,22.1
2019,400.66951671381,28933.928297233,36.0626564,3.83991051,,,,
2020,384.130644983052,27474.7361378236,34.24639893,4.08254337,,,,
2021,418.522377179637,29822.8491831618,32.08134842,4.37438345,5.9,10.2,15.0,22.1
2022,507.628499220225,34419.8684975666,37.8710556,3.90037823,,,,
2023,534.599496621811,36466.8914938333,37.09352112,3.95760036,,,,
